source,task_type,source_id,question,context,choice_labels,choice_texts,gold_label,gold_index,gold_text,explanation,subject,meta
MMLU,mcq,,"London will stage its biggest political funeral in almost half a century on Wednesday when Britain's governing elite join the Queen and global leaders to bid farewell to former Prime Minister Margaret Thatcher, better known as the "" Iron Lady"". In an event comparable to that of Winston Churchill's funeral in 1965, Thatcher's coffin will be carried on a horse-drawn gun carriage through streets lined with admirers from parliament to the city's most famous cathedral. The bells of London's symbolic Big Ben clock tower will fall silent for the first time since Churchill's funeral and more than 700 men and women from Britain's armed forces will honor a woman who led them to victory in the 1982 Falklands War as foreign politicians from around 170 nations look on. Surveys have shown that many are unhappy that the estimated l0-million($15 million)pound bill for the funeral is being picked up by the taxpayer, while some left-wing lawmakers say the luxurious funeral is too expensive. But her admirers, of whom there are many in her party and in southern England, argue that her historical profile deserves such a funeral. She was the country's first and only woman premier, was Britain's longest-serving prime minister of the 20th century, and won three general elections. More than 2,300 mourners will attend including 11 serving prime ministers from around the world, the British government's entire cabinet, two heads of state and 17 foreign ministers. But there will be notable absences. Former Soviet leader Mikhail Gorbachev is too ill to attend and Nancy Reagan, the widow of Thatcher's great U*S. ally Ronald Reagan, is also unable to come. Thatcher struck up a close relationship with Reagan during the Cold War, backed the first President  George Bush during the 1991 Gulf War, and was among the first to discover that Gorbachev was a man she could ""do business with. "" Covered in the red, white and blue British flag, Thatcher's coffin lay overnight in a 13th-century church in Britain's parliament, a forum she dominated for years. Who that are still alive will be absent from the funeral?",,"['A', 'B', 'C', 'D']","['Mikhail Gorbachev and Nancy Reagan.', 'Mikhail Gorbachev and Ronald Reagan.', 'Nancy Reagan and Ronald Reagan.', 'George Bush and Mikhail Gorbachev.']",A,0,Mikhail Gorbachev and Nancy Reagan.,,,{}
MMLU,mcq,,"Sports can help you keep fit and close to nature. However, whether you are on the mountains, in the waves, or on the grassland, you should realize that sport you choose might have great influence on the environment. Some sports are _ . Golf, as you may know, eats up not only large areas of countryside, but also lots of water. Besides, huge amounts of energy are used to keep its courses in good condition. This causes major environmental changes. For example, in the dry places of Portugal and Spain, golf is often held responsible for (...) serious water shortage  in some local areas. There are many environment-friendly sports. Power walking is one of them that you could take up today. You don't need any special equipment except a good pair of shoes, and you don't have to worry about resources and your purse. Simple and free, power walking can also help you stay healthy. If you walk regularly, it will be good for your heart. Experts say that 20 minutes of power walking daily can make you feel less anxious, sleep well and keep thin. Whatever sport you take up, you can make it greener than by using environment-friendly equipment and buying products made from recycled materials. But the final goal should be ""green gyms."" They are better replacements  for traditional health clubs and modern sports centers. Members of green gyms play sports outdoors, in the countryside or other open spaces. There is no special requirement for you to start your membership . And best of all, it's free. Which of following does the author most probably support according to the passage?",,"['A', 'B', 'C', 'D']","['Bicycling around the lake.', 'Car racing on the road.', 'Playing basketball in a gym.', 'Swimming in a sports center.']",A,0,Bicycling around the lake.,,,{}
MMLU,mcq,,"A man named Jerry lived in a small town in the state of Kentucky.  Jerry owned a sheep farm.  His favorite time of year was when lambs were born.  They were very cute.  Jerry also had other animals on his farm, such as pigs, dogs, cats, and cows.    One day Jerry wanted to paint his barn.  He could not find his ladder.  He looked in the barn, in his house, in his garage, and in his field.  Since he could not find it he had to stand on a table.  It took Jerry six days to paint his barn that way.    Jerry's favorite activity was to sit on his porch and sip lemonade.  He would watch the clouds float by in the sky.  He thought they looked a lot like his sheep.  Every night when Jerry went to sleep, he would listen to the sound of the wind blowing across the fields on his farm.  He would dream about feeding his sheep. What could Jerry not find?",,"['A', 'B', 'C', 'D']","['his ladder', 'his house', 'his garage', 'his barn']",A,0,his ladder,,,{}
MedQA,mcq_medical,,"A 16-year-old boy is brought to the emergency department after losing consciousness. He had no preceding chest pain or palpitations. His father has cataracts and had frontal balding in his twenties but has no history of cardiac disease. His paternal grandfather also had early-onset balding. His pulse is 43/min. Physical examination shows frontal hair loss, temporal muscle wasting, and testicular atrophy. Neurologic examination shows bilateral foot drop and weakness of the intrinsic hand muscles. An ECG shows bradycardia with third-degree atrioventricular block. The severity of this patient's symptoms compared to that of his father is most likely due to which of the following genetic properties?",step1,"['A', 'B', 'C', 'D']","['Pleiotropy', 'Loss of heterozygosity', 'Codominance', 'Anticipation']",D,3,Anticipation,,,"{'metamap_phrases': ['year old boy', 'brought', 'emergency department', 'consciousness', 'preceding chest pain', 'palpitations', 'father', 'cataracts', 'frontal balding', 'twenties', 'history of cardiac disease', 'paternal grandfather', 'early balding', 'pulse', 'min', 'Physical examination shows frontal hair loss', 'temporal', 'testicular atrophy', 'Neurologic examination shows bilateral foot drop', 'weakness of the intrinsic hand muscles', 'ECG shows bradycardia', 'third-degree atrioventricular block', 'severity of', ""patient's symptoms compared"", 'father', 'most likely due to', 'following genetic properties']}"
AQUA-RAT,mcq_rationale,,"A man on tour travels first 160 km at 64 km/hr and the next 160 km at 80 km/hr. Find the average
speed for first 320 km of tour.",,"['A', 'B', 'C', 'D', 'E']","['70.11 km/hr', '71.11 km/hr', '72.11 km/hr', '73.11 km/hr', 'None of these']",B,1,71.11 km/hr,"Explanation:
We know Time = Distance/speed
So total time taken =
(16064+16080)=92hours Time taken for 320 Km = 320
∗
29=71.11km/hr
Answer: B",,{}
ReClor,reading_comp_mcq,train_3927,"Each of the following, if true, helps to resolve the apparent conflict in the passage EXCEPT:","The blues is a modern musical form whose lyrics usually address such topics as frustration, anger, oppression, and restlessness. Yet blues musicians claim to find joy in performing, and the musicians and fans alike say that the blues' overall effect is an affirmation of life, love, and hope.","['A', 'B', 'C', 'D']","['Blues musicians who do not draw on their personal tragedies are no more successful than blues musicians who do.', ""The irony and wit found in the blues provide a sense of perspective on life's troubles."", 'The conversion of personal sorrow into an artistic work can have a cathartic effect on artists and their audiences.', 'The sharing of blues music serves to create a cohesive, sympathetic social network.']",A,0,Blues musicians who do not draw on their personal tragedies are no more successful than blues musicians who do.,,,{}
ARC-Easy,mcq_science,Mercury_7011375,The measure of the amount of light received on Earth from a star is known as,,"['A', 'B', 'C', 'D']","['parallax.', 'redshift.', 'absolute magnitude.', 'apparent magnitude.']",D,3,apparent magnitude.,,,{}
MedQA,mcq_medical,,"A 21-year-old woman with a history of acute lymphoblastic leukemia comes to the physician because she has not had a menstrual period for 12 months. Menarche occurred at the age of 11 years, and menses occurred at regular 28-day intervals until they became irregular 1 year ago. Physical examination shows normal female genitalia and bimanual examination shows a normal-sized uterus. Laboratory studies show markedly elevated FSH levels consistent with premature ovarian failure. Fluorescence in situ hybridization studies show a 46,XY karyotype in the peripheral blood cells. Which of the following is the most likely explanation for the male karyotype found on chromosomal analysis?",step1,"['A', 'B', 'C', 'D']","['Allogeneic bone marrow transplant', 'Müllerian duct agenesis', '21-hydroxylase deficiency', 'Radiation therapy']",A,0,Allogeneic bone marrow transplant,,,"{'metamap_phrases': ['21-year-old woman', 'history of acute lymphoblastic leukemia', 'physician', 'not', 'menstrual period', '12 months', 'Menarche occurred', 'age', 'years', 'menses occurred', 'regular', 'day intervals', 'irregular', 'year', 'Physical examination shows normal female genitalia', 'bimanual examination shows', 'normal-sized uterus', 'Laboratory studies show markedly elevated FSH levels consistent with premature ovarian failure', 'Fluorescence in situ hybridization studies show', 'XY karyotype', 'peripheral blood cells', 'following', 'most likely explanation', 'male karyotype found', 'chromosomal analysis']}"
MedQA,mcq_medical,,"A 2-year-old boy is brought to the physician because of an increasing productive cough with a moderate amount of white phlegm for the past week. He has been treated for pneumonia with antibiotic therapy four times over the past year. A chest x-ray performed 3 months ago showed no anatomical abnormalities. He has had multiple episodes of bulky greasy stools that don't flush easily. He is at 3rd percentile for height and at 5th percentile for weight. His temperature is 38°C (100.4°F), pulse is 132/min, and respirations are 44/min. A few inspiratory crackles are heard in the thorax. The abdomen is soft and nontender. The remainder of the examination shows no abnormalities. Which of the following is the best initial test to determine the underlying etiology of this patient's illness?",step2&3,"['A', 'B', 'C', 'D']","['X-ray of the chest', 'Serum immunoglobulin level', 'Sweat chloride test', 'DNA phenotyping\n""']",C,2,Sweat chloride test,,,"{'metamap_phrases': ['2 year old boy', 'brought', 'physician', 'increasing productive cough', 'moderate amount', 'white phlegm', 'past week', 'treated', 'pneumonia', 'antibiotic therapy four times', 'past', 'chest x-ray performed 3 months', 'showed', 'anatomical abnormalities', 'multiple episodes of bulky greasy stools', 'flush easily', '3rd percentile', 'height', '5th percentile', 'weight', 'temperature', '100 4F', 'pulse', 'min', 'respirations', 'min', 'few inspiratory crackles', 'heard', 'thorax', 'abdomen', 'soft', 'nontender', 'examination shows', 'abnormalities', 'following', 'best initial test to', 'underlying etiology', ""patient's illness""]}"
MMLU,mcq,,"The Swiss army knife is a popular device that is recognized all over the world. In Switzerland, there is a saying that every good Swiss citizen has one in his or her pocket. But the knife had poor beginnings. In the late nineteenth century, the Swiss army issued  its soldiers a gun that required a special screwdriver  to take it apart and clean it. At the same time, canned food was becoming common in the army. Swiss generals decided to issue each soldier a standard knife to serve both as a screwdriver and a can opener.  _ was a lifesaver for Swiss knife makers, who were struggling to compete with cheaper German imports. In 1884, Carl Elsener, head of the Swiss knife manufacturer(maker) Victorinox, seized that opportunity with both hands, and designed a soldier's knife that the army loved. It was a simple knife with one big blade , a can opener, and a screwdriver. A few years after the soldier's knife was issued, the ""Schweizer Offizier Messer,"" or Swiss Officer's Knife, came on the market. Interestingly, the Officer's Knife was never given to those serving in the army. The Swiss army purchasers considered the new model with a corkscrew  for opening wine not ""essential for survival,"" so officers had to buy this new model by themselves. But its special multi-functional design later launched  the knife as a global brand. After the Second World War, a great number of American soldiers were stationed in Europe. And as they could buy the Swiss army knife at shops on army bases, they bought huge quantities of them. However, it seems that ""Schweizer Offizier Messer"" was too difficult for them to say, so they just called it the Swiss army knife, and that is the name it is now known by all over the world. Who gave the name ""the Swiss army knife"" to the knife discussed in the passage?",,"['A', 'B', 'C', 'D']","['Carl Elsener.', 'Swiss generals.', 'American soldiers.', 'German businessmen.']",C,2,American soldiers.,,,{}
MMLU,mcq,,"Everyone knows there are many English expressions about clothes. There is no need to keep it a secret, or to keep it under your hat. In fact, if I keep talking, soon enough you will start to think I am an old hat about this -- a real expert. Do not be fooled, though. My friends sometimes call me a wolf in sheep's clothing. This is someone who acts like a good person, but is really a bad person. I'm not really a bad person. But I do love clothes.   It is always fun to get dressed up. I look great in my best clothes. When I put them on, I feel decked out. You might say when I wear my best clothes, I am dressed to the nines or dressed to the teeth. In fact, my husband says I look dressed to kill. Of course, I would never kill anyone. But, there is something special about putting on clothes that are pleasing to the eye.   My best clothes are not modern or fashionable. Maybe someday they will come into fashion. But I really do not care. They certainly look better on me than my birthday suit. Did you know that everyone has a birthday suit? You wear it when you are wearing no clothes at all. Babies are born wearing their birthday suits.   I am very careful with my clothes. I handle them with kid gloves. I try not to get them dirty or torn. Most of my clothes fit like a glove. They fit perfectly. But when I eat too much, I feel like my clothes might burst at the seams. My clothes feel too restrictive and tight.   Some of the clothes I like best are hand-me-downs. My older sister gave them to me when she no longer wanted them. Hand-me-downs are great because clothes often cost too much money. I live on a shoestring. I have a very small budget and little money to spend on clothes. However, my sister has a lot of money to spend on clothes. Maybe someday the shoe will be on the other foot. The opposite will be true. I will have a lot of money to buy clothes and my sister will get hand-me-downs from me.   I admit I dream of being rich. I dream that someday I will be able to live like a rich person. I will know what it is like to walk in another person's shoes. Some of my friends got rich by riding someone else's coat tails. They are successful today as a result of someone else being successful. But, I believe you should never criticize others for something you would do yourself. What is said about someone else can also be said about you. Remember, if the shoe fits, wear it. What's the main idea about the passage?",,"['A', 'B', 'C', 'D']","['A clothes expert.', 'English expressions about clothes.', 'How to dress perfectly.', 'My best clothes.']",B,1,English expressions about clothes.,,,{}
AQUA-RAT,mcq_rationale,,"Two teams are distributing information booklets. Team A distributes 60% more boxes of booklets than Team Z, but each box of Team A’s has 60% fewer booklets than each box of Team Z’s. Which of the following could be the total number of booklets distributed by the two groups?",,"['A', 'B', 'C', 'D', 'E']","['2,000', '3,200', '4,100', '4,800', '4,900']",C,2,"4,100","Let x be the no of booklets in each box that team distributes. So, Team A has 60% fewer - 0.4x.
Let y be the no. of boxes distributed by team Z. So, Team A distributes 60% more - 1.6y
Total booklets distributed by team A = xy
Total booklets distributed by team Z=0.64xy
Total booklets distributed = xy+0.64xy=1.64xy
As no. of booklets can only be integer, plugging the answer choice equal to 1.64xy should give an integer.
Choice A - 1.64xy=2000; xy=2000/1.64 = doesn't provide an integer value.
Similarly all answer choices, except choice C, fail to provide an integer value.
Choice C = 4100/1.64= 2500 and is the correct answer.",,{}
AQUA-RAT,mcq_rationale,,"If @ is a binary operation defined as the difference between an integer n and the product of n and 5, then what is the largest positive integer n such that the outcome of the binary operation of n is less than 12?",,"['A', 'B', 'C', 'D', 'E']","['1', '2', '3', '4', '5']",B,1,2,"@(n) = 5n - n
We need to find the largest positive integer such that 5n - n < 12.
Then 4n < 12 and n < 3.
The largest possible integer is n = 2.
The answer is B.",,{}
ReClor,reading_comp_mcq,train_502,"For the purposes of evaluating the argument, it would be most useful to know whether","Fish currently costs about the same at seafood stores throughout Eastville and its surrounding suburbs. Seafood stores buy fish from the same wholesalers and at the same prices, and other business expenses have also been about the same. But new tax breaks will substantially lower the cost of doing business within the city. Ttherefore, in the future, profit margins will be higher at seafood stores within the city than at suburban seafood stores.","['A', 'B', 'C', 'D']","['Seafood stores within the city will in the future set prices that are lower than those at suburban seafood stores', 'Any people who currently own seafood stores in the suburbs surrounding Eastville will relocate their businesses nearer to the city', 'The wholesale price of fish is likely to fall in the future', 'More fish wholesalers are located within the city than in the surrounding suburbs']",A,0,Seafood stores within the city will in the future set prices that are lower than those at suburban seafood stores,,,{}
ReClor,reading_comp_mcq,train_1034,The information above most strongly supports the statement that the people who are most successful at ending their bad habits are those who,"Although most people know what their bad habits are and want to rid themselves of them, a majority of these people find it very difficult to do so. This is because cessation of habitual behavior is immediately and vividly painful, while whatever benefit is to be gained by the absence of the habit is perceived only dimly because it is remote.","['A', 'B', 'C', 'D']","['have succeeded in the past at modifying their behavior', 'can vividly imagine remote but attainable benefit', 'can vividly imagine their present pain being felt in the future', 'are relatively unaware of their own behavioral characteristics']",B,1,can vividly imagine remote but attainable benefit,,,{}
ARC-Easy,mcq_science,Mercury_SC_408539,Why is water considered to be a renewable resource?,,"['A', 'B', 'C', 'D']","['Water can be used over again.', 'Water can be found all over Earth.', 'Water can dissolve other substances.', 'Water is needed by organisms to stay alive.']",A,0,Water can be used over again.,,,{}
MMLU,mcq,,Where do soil nutrients also exist?,,"['A', 'B', 'C', 'D']","['in organism foods', 'in the air', 'in the barn', 'in the water']",A,0,in organism foods,,,{}
AQUA-RAT,mcq_rationale,,"If (-3)^(2x) = 3^(12 - x) and x is an integer, what is the value of x ?",,"['A', 'B', 'C', 'D', 'E']","['5', '4', '3', '2', '1']",B,1,4,"Since x is an integer, (-3)^(2x) is always positive.
So, 3^2x = 3^(12 - x)
2x = 12 - x
3x = 12
x = 4
Answer: B",,{}
AQUA-RAT,mcq_rationale,,"The value of a stock is X dollars. On Sunday the stock's value grew by third of its value, but on Monday its value dropped to a third of its new value. What is the stock's value at the end of Monday?",,"['A', 'B', 'C', 'D', 'E']","['X.', 'X/2.', '2X/3.', 'X/3.', '4X/9.']",E,4,4X/9.,"Stock value= X
AT sunday end= x+X/3= 4X/3=1.3X
On monday the value drop to 1/3rd of its value on sunday
1.3x/3= 4X/9
E is the answer",,{}
ARC-Easy,mcq_science,Mercury_7115448,The greatest amount of diversity can be found among which type of organism?,,"['A', 'B', 'C', 'D']","['plants', 'animals', 'bacteria', 'fungi']",C,2,bacteria,,,{}
MedQA,mcq_medical,,"A 35-year-old man comes to the physician because of worsening pain in his lower back, knees, and shoulders over the past few years. He used to be able to touch his fingers to his toes while standing; now he has difficulty touching his shins. He is wearing a shirt with dark brown stains around the armpits. Physical examination shows bluish-brown sclerae and thickening of the external ear. The range of motion of the affected joints is decreased. X-rays of the spine show calcification of multiple lumbar intervertebral discs. The patient's condition is most likely caused by impaired metabolism of which of the following?",step1,"['A', 'B', 'C', 'D']","['Homocysteine', 'Tryptophan', 'Tyrosine', 'Ornithine']",C,2,Tyrosine,,,"{'metamap_phrases': ['35 year old man', 'physician', 'of worsening pain in', 'lower back', 'knees', 'shoulders', 'past', 'years', 'used to', 'able to touch', 'fingers', 'toes', 'standing', 'now', 'difficulty touching', 'shins', 'shirt', 'dark brown stains', 'armpits', 'Physical examination shows bluish brown sclerae', 'thickening', 'external ear', 'range of motion', 'affected joints', 'decreased', 'X-rays of', 'spine show calcification of multiple lumbar intervertebral discs', ""patient's condition"", 'most likely caused', 'impaired metabolism']}"
MMLU,mcq,,"Question: I have a one-year-old female bulldog, who has recently taken to biting my shoes when we are in the park and I'm on the mobile. She can be slightly aggressive and I'm starting to get worried and a bit annoyed. How do I stop her? ----Susan, London. Answer: You need to get this problem under control before it could escalate  . I always advise owners not to talk on the mobile phone when they go for a walk with their dogs, because they should be focusing on this time with their pets, but I know people have busy lives and need to make phone calls. The behavior she is showing is either controlling or playfulness, but they both result from the same issue ---- you are not paying attention to her. If you must make phone calls while on a walk, try to still engage with your dog by speaking towards her, playing some sorts of game and so on. If that doesn't work, you'll have to try more of a training approach. You will need a training line and some treats. Start your walk in the usual way, make a phone call, and when your dog starts displaying the undesired behavior, simply stop walking --- otherwise she will see it as a game. When she is calm and looking at you, or if she sits, give her a treat; then continue walking. If she starts up again, pick up the lead, gently pull it, and tell her ""no"".  Then ask her to sit and give her a treat if she does. The aim of this is to try to get her to forget how much fun it is biting your shoes. Do little sessions every day --- and try not to answer the phone if you know it's going to be a long conversation. Be patient and good luck! Remember that if an animal shows signs of distress or discomfort, an early visit to the vet is always recommended. What is Susan complaining about in her question?",,"['A', 'B', 'C', 'D']","[""She doesn't know how to make phone calls while walking a dog."", 'She has no idea how to get along well with her dog.', 'She gets worried that her dog is getting annoyed.', 'She finds her dog is getting a little aggressive.']",D,3,She finds her dog is getting a little aggressive.,,,{}
ARC-Easy,mcq_science,Mercury_SC_406481,Which environmental factor would most likely prevent an orange tree from surviving in the desert?,,"['A', 'B', 'C', 'D']","['the lack of moisture', 'the high levels of heat', 'the extra amount of wind', 'the low levels of sunlight']",A,0,the lack of moisture,,,{}
ReClor,reading_comp_mcq,train_4273,Which one of the following most accurately describes how the argument proceeds?,"Corruption is the cost of doing business in the context of the modern governmental climate. In some countries, corruption takes the form of campaign donations to politicians for passing favorable legislation, while in other countries, politicians receive kickbacks for the successful completion of a government initiative. As long as humans are involved in government, corruption will never be eliminated.","['A', 'B', 'C', 'D']","['It begins with a generalization, offers some examples, and concludes with a definition.', 'It begins with a definition, offers some examples, and concludes with speculation.', 'It begins with a generalization, defines some terms, and concludes with an example.', 'It begins with a bright-line test, offers some examples, and concludes with a definition.']",B,1,"It begins with a definition, offers some examples, and concludes with speculation.",,,{}
AQUA-RAT,mcq_rationale,,Consider a lady took a loan from a bank at the rate of 12% p.a. simple interest. After 3 years she had to pay Rs. 5400 interest only for the period. The principal amount borrowed by her was,,"['A', 'B', 'C', 'D', 'E']","['Rs. 2000', 'Rs. 10000', 'Rs. 15000', 'Rs. 20000', 'None of these']",C,2,Rs. 15000,"Explanation :
Principal = Rs. (100×5400 / 12×3)
=> Rs. 15,000.
Answer : C",,{}
MMLU,mcq,,"Dear Mary, I'm sorry to hear that you didn't get good grades in math mid-term exam. And you said you spend a lot of time studying math. However, it is difficult for you to learn it well. I think you should find a right way to learn it. Here is my advice for you. During the class * Listen to the teacher and be sure to write down everything the teacher puts on the blackboard. * If you don't understand a step or how to get the answer to the question, ask the teacher or a classmate for help right now. * Underline key points while taking notes. After the class * Recopy each day's notes into a new notebook clearly. * Do your homework every day carefully. And don't copy other students' homework. * If a step is unclear or you don't know how to do it, ask for help soon. _  * Look for useful examples of how this kind of difficult problem is used in your textbook or other materials  Before exam * Review  all of your notes quickly and find out every missing problem at times. * Work examples in the text each several times until you can do them quickly. This will help you improve the speed  needed for the exam. If you do as I said, I think you will get good grades in the final exam. Come on! Mary. Which of the following ways is not mentioned in the passage?",,"['A', 'B', 'C', 'D']","['Be sure to write down everything the teacher puts on the blackboard.', 'Underline key points while taking notes during the class.', 'Work examples in the text each several times until you can do them quickly before the exam.', ""Put up your hand if you don't know how to do it.""]",D,3,Put up your hand if you don't know how to do it.,,,{}
ReClor,reading_comp_mcq,train_453,The pattern of flawed reasoning in the argument most closely parallels that in which one of the following?,"Although many political candidates object to being made the target of advertising designed to cast them in an adverse light, such advertising actually benefits its targets because most elections have been won by candidates who were the targets of that kind of advertising.","['A', 'B', 'C', 'D']","['Although many people dislike feeling sleepy as a result of staying up late the previous night, such sleepiness must be acceptable to those who experience it because most people who stay up late enjoy doing so.', 'Although many actors dislike harsh reviews of their work, such reviews actually help their careers because most of the really prestigious acting awards have gone to actors who have had performances of theirs reviewed harshly.', 'Although many film critics dislike horror films, such films are bound to be successful because a large number of people are eager to attend them.', 'Although many students dislike studying, it must be a good way to achieve academic success because most students who study pass their courses.']",B,1,"Although many actors dislike harsh reviews of their work, such reviews actually help their careers because most of the really prestigious acting awards have gone to actors who have had performances of theirs reviewed harshly.",,,{}
MMLU,mcq,,"The colour systems used by scientists and artists are completely different. An artist will mix blue and yellow paint to get a shade of green; a scientist will mix green and red light to create yellow. The printed page in a magazine is yet another system. Scientists recognize the light primaries are red, green and blue. When mixed, red and green light rays produce yellow, blue and green produce cyan, red and blue produce magenta. Red, green and blue mix to create white (light). This colour model is used in computer monitors, television sets and theatre. Most artists recognize red, yellow and blue as the three basic primary colours. These primaries are the pure colours which cannot be created by mixing any other colours. In the print industry, cyan, magenta, yellow and black are used as the primary colours. When you mix all the colours, the result is gray. How many colour systems are mentioned in the passage?",,"['A', 'B', 'C', 'D']","['Two', 'Three', 'Only one', 'Four']",B,1,Three,,,{}
MedQA,mcq_medical,,"A 26-year-old man comes to the physician for evaluation of fatigue, facial rash, hair loss, and tingling of his hands and feet. He has followed a vegetarian diet for the past 3 years and has eaten 8 raw egg whites daily for the past year in preparation for a bodybuilding competition. Physical examination shows conjunctival injections and a scaly, erythematous rash around the eyes and mouth. Laboratory studies show decreased activity of propionyl-coenzyme A carboxylase in peripheral blood lymphocytes. Which of the following substances is most likely to be decreased in this patient?",step1,"['A', 'B', 'C', 'D']","['Cystathionine', 'Ribulose-5-phosphate', 'Lactate', 'Oxaloacetate']",D,3,Oxaloacetate,,,"{'metamap_phrases': ['year old man', 'physician', 'evaluation', 'fatigue', 'facial rash', 'hair loss', 'tingling', 'hands', 'feet', 'followed', 'vegetarian diet', 'past', 'years', 'eaten', 'raw egg whites daily', 'past year', 'preparation', 'bodybuilding competition', 'Physical examination shows conjunctival injections', 'scaly', 'erythematous rash', 'eyes', 'mouth', 'Laboratory studies show decreased activity', 'propionyl-coenzyme A carboxylase', 'peripheral blood lymphocytes', 'following substances', 'most likely to', 'decreased', 'patient']}"
SciQ,mcq_science,,"Covering about 16 percent of the moon's surface, maria are dark, solid, flat areas consisting of what substance?","When you look at the Moon from Earth, you notice dark and light areas. The maria are dark, solid, flat areas of lava. Maria covers around 16% of the Moon’s surface, mostly on the near side. The maria formed about 3.0 to 3.5 billion years ago, when the Moon was continually bombarded by meteorites ( Figure below ). Large meteorites broke through the Moon’s newly formed surface. This caused magma to flow out and fill the craters. Scientists estimate volcanic activity on the Moon ended about 1.2 billion years ago.","['A', 'B', 'C', 'D']","['lava', 'debris', 'ash', 'dust']",A,0,lava,,,{'choice_order': 'constructed_from_correct_plus_distractors'}
MMLU,mcq,,"Alzheimer's disease is a major national health problem. Nearly 2 million Americans over the age of 65 have Alzheimer's disease. It is a leading cause of death among the elderly. But Alzheimer's disease is not confined   to the aged. There may be a million or more people under the age of 65 suffering from the disease. At one time, people suffering from the disease were said to be ""getting old"". The disease was thought to be a natural part of growing old, but it is now known that Alzheimer's disease strikes young and old alike. It is an organic   disease that destroys brain cells. Alzheimer's disease affects the patient's memory, speech, and movement. In the beginning stages of the disease, the patient may seem slightly confused. He may have trouble speaking, then the patient's memory begins to fail. He may forget dates, numbers, names and plans. As the disease progresses, the patient may not recognize family and friends. These symptoms  often cause terrible anxiety in the patient. He may feel lost and frightened. Sometimes the patient reacts with wild and bad behavior. In the last stages of the disease, the patient may not be able to take care of himself. He may have lost the ability to speak and walk. Scientists don't know exactly what causes Alzheimer's disease. It may be caused by a virus  .It may be caused by a poisonous substance  in the environment. At present, there is no cure for the disease. But there are ways to slow its progress. Exercise and physical treatment can help the patients of this disease. The main idea of the passage is that Alzheimer's disease   _  .",,"['A', 'B', 'C', 'D']","['is a terrible part of the aging process', 'is an organic disease that affects young and old', 'can be cured by physical treatment', 'causes forgetfulness']",B,1,is an organic disease that affects young and old,,,{}
MMLU,mcq,,"It is the summer of 1776. Thomas Jefferson is not happy. He'd rather be home in Virginia than attending Philadelphia's Continental Congress  Thomas Jefferson knew he had a job to do. Important men throughout the American colonies  were meeting in Philadelphis to discuss and debate the war with Great Briain. The colony of Virginia sent Thomas Jefferson to Philadelphia. But  Jefferson wasn't happy. Jefferson wanted to be home that hot summer of 1776. he missed his wife, Martha. She hadn't been feeling well when he left, and he worried about her. On June 7, 1776, Richard Henry Lee from Virginia stood up at the Congress and announced that ""these American colonies ought to be free and independent states."" Jefferson probably knew what was coming next. Here was another resolution  to debate. And whenever there was a resolution, there was a declaration. The American colonies had been at war with Great Britain for more than a year, but surprisingly. The colonies had not formally announced their independence. So the Congress appointed a five-man committee to crate a document declaring America's independence. And the committee chose Thomas Jefferson to write it. Jefferson knew he was to list the unfair things Great Britain had done to the colonies. For days and days,, Jefferson wrote and rewrote about the king and his unfair laws. About independence. About freedom. He borrowed ideas from other political writers, but he wrote these thoughts in words that all people could understand. He wanted his ideas to be shared with everyone. And  _ were. The Continental Congress voted to adopt the Declaration of Independence on July 4, 1776. on July 8, it was read out loud to a cheering crowd. No one knew who the author was, but they knew what the Declaration stood for-independence and freedom for all. Still, Thomas Jefferson dreamed of home. In late July he begged Richard Henry Lee to replace him in the Congress. In September, Jefferson's dream finally came true, and he traveled home. Since then, the words Thomas Jefferson wrote during that hot Philadelphia summer have inspired people throughout the world. Thank goodness Jefferson didn't go home. The Continental Congress set up a committee to write a document to  _  .",,"['A', 'B', 'C', 'D']","['officially declare war on Britain', 'announce the American colonies were free', 'inspire soldiers fighting against Britain', 'revise the Declaration of Independence']",B,1,announce the American colonies were free,,,{}
ARC-Easy,mcq_science,Mercury_SC_LBS10909,A push or a pull on an object is an example of,,"['A', 'B', 'C', 'D']","['force.', 'weight.', 'energy.', 'work.']",A,0,force.,,,{}
SciQ,mcq_science,,In statistics a boundary on the precision and accuracy is known as what?,"An error is a boundary on the precision and accuracy of the result of a measurement. Some errors are caused by unpredictable changes in the measuring devices (such as balances, rulers, or calipers), but other errors can be caused by reading a measuring device incorrectly or by using broken or malfunctioning equipment. Such errors can have an impact on the reliability of the experiment’s results; they affect the accuracy of measurements. For example, you use a balance to obtain the mass of a 100 gram block. Three measurements that you get are: 93.1 g, 92.0 g, and 91.8 g. The measurements are precise, as they are close together, but they are not accurate.","['A', 'B', 'C', 'D']","['error', 'instance', 'median', 'frequency']",A,0,error,,,{'choice_order': 'constructed_from_correct_plus_distractors'}
SciQ,mcq_science,,Deep ocean currents are caused by differences in what property at the top and bottom?,Currents also flow deep below the surface of the ocean. Deep currents are caused by differences in density at the top and bottom. Density is defined as the amount of mass per unit of volume. More dense water takes up less space than less dense water. It has the same mass but less volume. Water that is more dense sinks. Less dense water rises. What can make water more dense?.,"['A', 'B', 'C', 'D']","['density', 'diameter', 'mass', 'velocity']",A,0,density,,,{'choice_order': 'constructed_from_correct_plus_distractors'}
